SOURCE,MECHSPC,GEOS_EXPRESSION,UNIT
TIME-SER,AIRDEN,AIRDEN,molec/cm3
IJ-AVG-$,O3,"np.where(O3 == 0., Ox - NOx, O3)",ppmV
IJ-AVG-$,PureO3,O3,ppmV
IJ-AVG-$,OxO3,Ox - NOx,ppmV
IJ-AVG-$,N2O5,N2O5,ppmV
IJ-AVG-$,HNO3,HNO3,ppmV
IJ-AVG-$,PNA,HNO4,ppmV
IJ-AVG-$,H2O2,H2O2,ppmV
IJ-AVG-$,NTR,R4N2,ppmV
IJ-AVG-$,FORM,CH2O,ppmV
IJ-AVG-$,ALD2,1./2 * ALD2,ppmV
IJ-AVG-$,CO,CO,ppmV
IJ-AVG-$,MEPX,MP,ppmV
IJ-AVG-$,PAN,PAN,ppmV
IJ-AVG-$,PANX,PPN + PMN,ppmV
IJ-AVG-$,OLE,0.5 * 1./2. * 3. * PRPE,ppmV
IJ-AVG-$,IOLE,0.5 * 1./4. * 3. * PRPE,ppmV
IJ-AVG-$,TOL,TOLU,ppmV
IJ-AVG-$,XYL,XYLE,ppmV
IJ-AVG-$,ISPD,MACR + MVK,ppmV
IJ-AVG-$,SO2,SO2,ppmV
IJ-AVG-$,ETHA,C2H6,ppmV
IJ-AVG-$,BENZENE,BENZ,ppmV
IJ-AVG-$,ISOP,ISOP,ppmV
IJ-AVG-$,PAR,1.5 * C3H8,ppmV
IJ-AVG-$,PAR,4. * ALK4,ppmV
IJ-AVG-$,PAR,3. * ACET,ppmV
IJ-AVG-$,PAR,4. * MEK,ppmV
IJ-AVG-$,PAR,1. * BENZ,ppmV
IJ-AVG-$,ALDX,RCHO,ppmV
TIME-SER,NO,NO,ppmV
TIME-SER,NO2,NO2,ppmV
IJ-AVG-$,AALJ,0.05695 * DST1,micrograms/m**3
IJ-AVG-$,ABNZ1J,0.12 * SOA5,micrograms/m**3
IJ-AVG-$,ABNZ2J,0.04 * SOA5,micrograms/m**3
IJ-AVG-$,ABNZ3J,0.32 * SOA5,micrograms/m**3
IJ-AVG-$,ACAJ,0.0118 * SALA,micrograms/m**3
IJ-AVG-$,ACAJ,0.07940 * DST1,micrograms/m**3
IJ-AVG-$,ACLJ,0.00945 * DST1,micrograms/m**3
IJ-AVG-$,ACLJ,0.5538 * SALA,micrograms/m**3
IJ-AVG-$,ACLK,0.01190 * DST2,micrograms/m**3
IJ-AVG-$,ACLK,0.01190 * DST3,micrograms/m**3
IJ-AVG-$,ACLK,0.01190 * DST4,micrograms/m**3
IJ-AVG-$,ACLK,0.5538 * SALC,micrograms/m**3
IJ-AVG-$,AECI,0.001 * BCPI,micrograms/m**3
IJ-AVG-$,AECI,0.001 * BCPO,micrograms/m**3
IJ-AVG-$,AECJ,0.999 * BCPI,micrograms/m**3
IJ-AVG-$,AECJ,0.999 * BCPO,micrograms/m**3
IJ-AVG-$,AFEJ,0.03355 * DST1,micrograms/m**3
IJ-AVG-$,AISO1J,0.75 * SOA4,micrograms/m**3
IJ-AVG-$,AISO2J,0.25 * SOA4,micrograms/m**3
